name,fans,fave,tags,vote
1164104-Inner+Beauty-vipme-dress-vipme-bracelet,31856,57 favorites,"['Chic', 'Blind Date', 'spring']",378 votes
1102069-Keep+her+wild-floral-gypsan-dress,170,71 favorites,"['Bohemian', 'Dinner Date', 'spring']",377 votes
1113840-Black+maxi+dress-black-delacy-dress,640,50 favorites,"['Bohemian', 'Everyday', 'Summer']",261 votes
1138091-Cos+I%E2%80%99m+Loving+It-white-shirt-dress-cos-shirt-black-leather-cos-boots-navy-cos-dress,569,65 favorites,"['Androgynous', 'Casual Party', 'fall']",297 votes
1110854-Rock+and+Roll+Queen-black-leather-self-designed-dress-gold-chain-chanel-belt,29687,31 favorites,"['Rocker', 'Clubbing', 'spring']",392 votes
1114958-1905-light-yellow-aleksandar-zabunovic-dress-light-yellow-black-zara-sandals,32183,67 favorites,"['50s', 'Wedding', 'spring']",332 votes
1068472-New+haircut-vest-shoes-dress-louis-vuitton-bag-miu-miu-sunglasses,90,53 favorites,"['Chic', 'Other', 'Summer']",471 votes
941570-swonderful-navy-trench-unknown-brand-coat-red-fantosh-dress-white-brogues-zenden-heels,133,74 favorites,"['Retro', 'Movie night', 'fall']",308 votes
1163120-Little+White+Dress-white-off-shoulder-forever-21-dress-brown-straw-forever-21-hat,2092,64 favorites,"['Chic', 'Brunch', 'summer']",334 votes
1077281-Black+with+a+Splash+of+Color-amiclubwear-dress-amiclubwear-heels-zara-earrings,377,66 favorites,"['Chic', 'Everyday', 'fall']",313 votes
1119488-Poshmark+San+Francisco+LIVE+PoshParty-black-leather-zara-boots-nude-lace-tobi-dress-black-vintage-coach-bag,14193,90 favorites,"['Romantic', 'Cocktail', 'summer', '12']",398 votes
1075932-Red+wine-ruby-red-leather-younghungryfree-dress-black-kate-katy-boots,21610,36 favorites,"['Bohemian', 'The Fair', 'fall']",356 votes
1163487-Tropical+Dress+OOTD-sky-blue-london-times-dress-brown-heeled-shoedazzle-sandals,2092,64 favorites,"['Casual', 'Everyday', 'spring']",289 votes
982749-A+Song+of+Ice+and+Fire-green-dr-martens-boots-black-sense-dress-navy-atmosphere-cardigan,3754,63 favorites,"['Romantic', 'Everyday', 'winter']",411 votes
989918-Street+Cat-crimson-suede-h-m-boots-black-topshop-dress-crimson-promod-tights,355,71 favorites,"['Chic', 'Shopping', 'spring']",392 votes
1029367-Flippy+in+Floral-red-topshop-dress,10621,92 favorites,"['50s', 'Brunch', 'spring', 'inspiration', 'summer', 'flippy in floral']",843 votes
986314-DAY+2+OF+COPENHAGEN+FASHION+WEEK-waterproof-moon-boot-boots-embroidered-daniele-carlotta-dress,78,44 favorites,"['Elegant', 'Fashion Show', 'winter']",286 votes
1029260-LWD-white-bodycon-bcbg-max-azria-dress,5309,77 favorites,"['Chic', 'Everyday', 'spring']",396 votes
978085-I+heart+Brighton-forest-green-dr-martens-boots-charcoal-gray-asos-dress,3754,84 favorites,"['Eclectic', 'Everyday', 'spring']",377 votes
1043776-Ride-navy-frolicking-with-clementine-jacket-white-boho-lace-dress-chiwish-dress,336,76 favorites,"['80s', 'Everyday', 'Summer']",360 votes
957806-Thrifted+Floral+Dresses-bubble-gum-thrifted-dress-black-yeswalker-flats,7135,79 favorites,"['Vintage', 'Vacation', 'spring']",395 votes
1032755-A+Girls+Best+Friend-white-hei-naharu-classique-dress-navy-celine-bag,616,27 favorites,"['Classic', 'Going Out With Friends', 'summer']",93 votes
1040456-MONOCHROME-last-night-dress,1632,41 favorites,"['Trendy', 'Going Out With Friends', 'summer']",313 votes
